,seeds1,seeds2,moves,player1,player2
2473,11,31,66446223416431446315641543314452215443344664536214233445523345546115244533554452152433455466,3270,5061
2479,15,27,66446222434126312643324315312623123324235462113126633531233216132415453443262514352663344125123425433456,8066,5061
2686,19,25,66442246344262111443344552455435534421445133425365541526,5061,3270
3655,26,9,664266246633423421221265342615431266143121615442533153151151465235564354653641516132432,5061,3712
4617,25,14,663533225363253211633256551132544462213245434536443146254233441122566641523325161415465132436,5061,8066
4877,25,5,6634366545361153226,5061,5941
4916,12,28,663436622125341335213412243345542655114455233452415366415164161225,8281,5061
7114,25,9,663164324161266451243331542213312242315564413542512316,5061,246
8207,25,6,66242662466334631422645233654254251335544225336253455461565342516534,5061,3712
8631,30,4,662343621125432213321513415522516531134441153224625161324161566514,5061,3346
9184,15,25,6623242622524116131452443166256611223213141161262142341344251661324324351661422314352661321344253661122344354656,3346,5061
9595,10,28,662264235663151321251435532142334632412566516314,1765,5061
9797,14,34,662244236426212631441614614452441514354345344253152514645145533552654126,3346,5061
10948,16,28,662132232634324634116144161316142312451131236355633522155321423354534514265366241635124551335564455126,4998,5061
12704,27,3,6544652233653446153165345463412,5061,2229
13052,8,27,65436225413513453245531223545364415554455225144531534556141642152356251145345543552432445365,3270,5061
13905,26,14,653633531223523145523634161516531145563152146536264562345,5061,2068
17304,28,11,6513624442632113252415223643324361556436121611236536,5061,2791
17344,25,16,65132153321321334125133261234532445114256235614156631226415466,5061,1765
17894,28,7,64526446351321,5061,2180
18000,11,26,6452263343543162161264135422416133425166213415,5495,5061
18140,13,25,6446624623312332431643324522435326355116433512432614551666,1062,5061
18143,9,28,644662462312344324423362566443546612233445526624153325443253455461534624425335,3270,5061
18202,12,26,64464266231114341162445146445213156432422211432454613534452335142532544354652334455116,1062,5061
18212,26,5,6446426413142254233415546542655315243661413534422436,5061,1777
18213,25,16,6446426353111253235243314261536564524534152355443546546615,5061,2791
18221,12,26,6446425461333441165442145323161241322556236235442345,1062,5061
18222,10,25,6446425413541551623633425115615312242336,1062,5061
18247,22,26,6446422316613463441642145664435124325345,8066,5061
18248,7,26,644642231331142344324413243142566115,3270,5061
18255,6,26,64464213644121565131541266224215544552345335544265543563253442635465111245334526,246,5061
18324,27,10,644632114424462234434631564423563521441234262513244615166645366122433415266132431425366142132435465,3270,5061
18334,27,13,64462231166412315216116141522421336151614155546315243546544511556631144522256436,5061,504
18517,17,25,6442664463362164463314526135644165564354661215,3204,5061
18803,11,37,6442632315144115442241635542536336524436435614216433425166142332415366142233415266132132445366142135,5061,2229
18817,25,4,6442611364214354325344156356,5061,1777
18884,8,29,64425216411232446424415462344563526514152135445513253442546516,1062,5061
18906,4,26,64423613146141344322543115245564332242633243536531554256556316,8066,5061
19255,12,26,64411633624164214451262412366551433542262514355344152666,246,5061
19286,26,6,64366251133421543314256451335461455335445566554452235615,5061,1777
19303,14,27,643662415351641121516141543316142561514354662511332442562436534455166512514352354423354462516625132145543253445526635134124524534155344261516635144521534534524453652413322146,2068,5061
19323,26,18,6436624123244116144334425431611614251316123524352334152632611541344551262215244355345546651351244566,5061,246
19381,8,27,6436435322242331344324325344551155445533514565143344265225,246,5061
19447,13,27,6436321343211614136143344566221135223455332534445513223142546513253441565341526615,4936,5061
19475,25,12,6436225316641354622136624422635611661125,5061,246
19478,17,25,6436225244263134251161255161411614152356151622265565366554223416134161511516,246,5061
19525,27,2,64361226324664563441463425215642344316,5061,381
19528,13,25,6436121352132654441354224435614426235522324455132136,246,5061
19529,18,28,6436121321161514161555341565546525345563214421615136551425433554455255445533452415312256551441552345543266,6073,5061
20507,19,25,64266343663345342665364212461514216612415235325144615422455433655142553345165464455123455624153245566,5061,246
20510,11,30,642663433344661513411544363314564516635431441521165513412554355231615461415625124132446216,8066,5061
20524,34,10,64266133423446621423314261546331456235142541531235244533544556,5061,5672
20570,14,26,64264353243261445536543521564311265534536641546615132534455241241336251251325423443152435514254666514552342556,5495,5061
